DataSet,PubID,TrialID,VarName,VarValue,VarUnits
NRC2001,1,1,Acknowledgement,"Committee NRC 2001, Mark Hanigan VT",_
NRC2001,1,1,Reference,"Omara et al., 1997.  JDS 80:  2466-2474",_
NRC2001,1,1,Year,1997,year
NRC2001,1,1,Location ,Ireland,_
NRC2001,24,1,Acknowledgement,"Committee NRC 2001, Mark Hanigan VT",_
NRC2001,24,1,Reference,"Mabjeesh et al., 1996.  JDS 79:  1792-1801",_
NRC2001,24,1,Year,1996,year
NRC2001,24,1,Location ,Hebrew,_
