DataSet,PubID,TrialID,TrtID,SubjectID,VarName,VarValue,VarUnits,N,SE,SD
NRC2001,13,1,1,_,DM,15.7,%,,,
NRC2001,13,1,1,_,CP,29.7,% DM,,,
NRC2001,28,1,11,_,DM,58.1,%,,,
NRC2001,28,1,11,_,CP,18.3,% DM,,,
NRC2002,28,1,12,_,DM,57.2,%,,,
NRC2003,28,1,12,_,CP,17.9,% DM,,,
Beltsville,12,1,43,191,DM,92.9,%,,,
Beltsville,12,2,43,191,DM,92.9,%,,,
Beltsville,12,3,41,191,DM,,%,,,
Beltsville,12,4,44,191,DM,97.9,%,,,
Beltsville,12,5,43,191,CP,13.6,% DM,,,
Beltsville,12,6,43,191,CP,13.6,% DM,,,
