DataSet,PubID,TrialID,TrtID,IFN,VarName,VarValue,VarUnits,N,SE,SD
NRC2019,51,1,237,1-00-071,ADF,29,%DM,-,-,-
NRC2019,51,1,237,1-05-175,ADF,46.6,%DM,-,-,-
NRC2019,51,1,237,4-04-380,ADF,5.3,%DM,-,-,-
NRC2019,51,1,237,4-04-383,ADF,6.9,%DM,-,-,-
NRC2019,51,1,237,5-04-612,ADF,4.9,%DM,-,-,-
NRC2019,51,1,238,1-00-071,ADF,29,%DM,-,-,-
NRC2019,51,1,238,1-05-175,ADF,46.6,%DM,-,-,-
NRC2019,51,1,238,4-04-380,ADF,5.3,%DM,-,-,-
NRC2019,51,1,238,4-04-383,ADF,6.9,%DM,-,-,-
NRC2019,51,1,238,5-04-612,ADF,4.9,%DM,-,-,-
NRC2019,52,1,332,1-00-071,ADF,39.6,%DM,-,-,-
NRC2019,52,1,332,3-28-248,ADF,25.8,%DM,-,-,-
NRC2019,52,1,332,4-20-770,ADF,3.4,%DM,-,-,-
NRC2019,52,1,332,1-04-560,ADF,50.2,%DM,-,-,-
NRC2019,57,1,187,3-21-843,ADF,29.6,%DM,-,-,-
NRC2019,57,1,187,3-07-797,ADF,30.5,%DM,-,-,-
NRC2019,57,1,187,1-07-788,ADF,29.5,%DM,-,-,-
NRC2019,68,1,116,3-28-248,ADF,24.2,%DM,-,-,-
NRC2019,68,1,116,1-07-788,ADF,40.8,%DM,-,-,-
NRC2019,71,1,126,3-00-217,ADF,43.4,%DM,-,-,-
NRC2019,71,1,127,3-00-217,ADF,37,%DM,-,-,-
NRC2019,71,1,128,4-02-931,ADF,38,%DM,-,-,-
NRC2019,71,1,129,1-00-071,ADF,49.8,%DM,-,-,-
NRC2019,72,1,130,3-02-912,ADF,29.3,%DM,-,-,-
NRC2019,72,1,130,CrnSilAm,ADF,26.7,%DM,-,-,-
NRC2019,72,1,130,1-00-071,ADF,36.5,%DM,-,-,-
NRC2019,72,1,131,3-02-912,ADF,29.3,%DM,-,-,-
NRC2019,72,1,131,CrnSilAm,ADF,26.7,%DM,-,-,-
NRC2019,72,1,131,1-00-071,ADF,36.5,%DM,-,-,-
NRC2019,72,1,132,3-02-912,ADF,29.3,%DM,-,-,-
NRC2019,72,1,132,CrnSilAm,ADF,26.7,%DM,-,-,-
NRC2019,72,1,132,1-00-071,ADF,36.5,%DM,-,-,-
NRC2019,72,1,133,3-02-912,ADF,29.3,%DM,-,-,-
NRC2019,72,1,133,CrnSilAm,ADF,26.7,%DM,-,-,-
NRC2019,72,1,133,1-00-071,ADF,36.5,%DM,-,-,-
NRC2019,73,1,134,1-00-071,ADF,40.8,%DM,-,-,-
NRC2019,73,1,135,3-00-217,ADF,37,%DM,-,-,-
NRC2019,75,1,140,1-02-243,ADF,17.2,%DM,-,-,-
NRC2019,75,1,141,1-02-243,ADF,17.2,%DM,-,-,-
NRC2019,75,1,142,1-02-243,ADF,17.2,%DM,-,-,-
NRC2019,82,1,154,BarSilAm,ADF,28.6,%DM,-,-,-
NRC2019,82,1,154,3-00-512,ADF,30.2,%DM,-,-,-
NRC2019,82,1,155,BarSilAm,ADF,28.6,%DM,-,-,-
NRC2019,82,1,155,3-00-512,ADF,30.2,%DM,-,-,-
NRC2019,82,1,156,BarSilAm,ADF,28.6,%DM,-,-,-
NRC2019,82,1,156,3-00-512,ADF,30.2,%DM,-,-,-
NRC2019,86,1,163,3-02-912,ADF,27,%DM,-,-,-
NRC2019,86,1,163,3-02-265,ADF,40.7,%DM,-,-,-
NRC2019,86,1,164,3-02-912,ADF,27,%DM,-,-,-
NRC2019,86,1,164,3-02-265,ADF,40.7,%DM,-,-,-
NRC2019,86,1,165,3-02-912,ADF,27,%DM,-,-,-
NRC2019,86,1,165,3-02-265,ADF,40.7,%DM,-,-,-
NRC2019,86,1,166,3-02-912,ADF,27,%DM,-,-,-
NRC2019,86,1,166,3-02-265,ADF,40.7,%DM,-,-,-
NRC2019,87,1,239,3-28-248,ADF,18.9,%DM,-,-,-
NRC2019,87,1,239,AlfHay,ADF,32.7,%DM,-,-,-
